asset,tool,loss_axis,flags,violates,blast,sens_asset,S,I_C,I_I,I_A,score_C,score_I,score_A,driver,score_v6,band_v6,raised_by_cia,floored_by_sensitivity,workings,control,score_v5,band_v5,delta
event-attendee-lists,respond-to-event,C>I>A,population,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
executive,list-events,C>I>A,,C,3,4,4,2,0,0,24,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
executive,search-events,C>I>A,,C,3,4,4,4,0,0,48,0,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
executive,get-event,C>I>A,,C,1,4,4,5,0,0,20,0,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
executive,create-event,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
executive,create-events,C>I>A,,I,4,4,4,4,4,0,64,64,0,C,64,high,False,False,4×4×4,"deny — disclosure cannot be undone, so approval buys nothing",64.0,high,0.0
executive,update-event,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
executive,delete-event,C>I>A,,I+A,3,4,4,5,5,5,60,60,60,C,60,high,False,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,0.0
executive,get-freebusy,C>I>A,,C,2,4,4,5,0,0,40,0,0,C,40,medium,True,False,4×2×5,"deny — disclosure cannot be undone, so approval buys nothing",16.0,low,24.0
executive,respond-to-event,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
recruiting,list-events,C>I>A,,C,3,4,4,2,0,0,24,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
recruiting,search-events,C>I>A,,C,3,4,4,4,0,0,48,0,0,C,48,medium,True,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,12.0
recruiting,get-event,C>I>A,,C,1,4,4,5,0,0,20,0,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
recruiting,create-event,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
recruiting,create-events,C>I>A,,I,4,4,4,4,4,0,64,64,0,C,64,high,False,False,4×4×4,"deny — disclosure cannot be undone, so approval buys nothing",64.0,high,0.0
recruiting,update-event,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
recruiting,delete-event,C>I>A,,I+A,3,4,4,5,5,5,60,60,60,C,60,high,False,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,0.0
recruiting,get-freebusy,C>I>A,,C,3,4,4,5,0,0,60,0,0,C,60,high,True,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,36.0
recruiting,respond-to-event,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
outbound-invite-email,create-event,I>C>A,,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
outbound-invite-email,create-events,I>C>A,,I,4,4,4,0,4,0,0,64,0,I,64,high,False,False,4×4×4,require human confirmation — recoverable only if a restore path exists,64.0,high,0.0
outbound-invite-email,update-event,I>C>A,,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
outbound-invite-email,delete-event,I>C>A,,I+A,3,4,4,0,5,5,0,60,60,I,60,high,False,False,4×3×5,require human confirmation — recoverable only if a restore path exists,60.0,high,0.0
account-directory,list-calendars,C>I>A,metadata-only,C,4,5,5,2,0,0,40,0,0,,50,high,False,True,existing score,existing control (CIA adds no reason here),40.0,medium,10.0
account-directory,manage-accounts,C>I>A,metadata-only,I,4,5,5,5,4,0,100,80,0,C,100,critical,False,False,5×4×5,"deny — disclosure cannot be undone, so approval buys nothing",100.0,critical,0.0
personal,list-events,C>A>I,,C,3,3,3,2,0,0,18,0,0,C,18,medium,False,False,3×3×2,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,0.0
personal,search-events,C>A>I,,C,3,3,3,4,0,0,36,0,0,C,36,medium,True,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",27.0,medium,9.0
personal,get-event,C>A>I,,C,1,3,3,5,0,0,15,0,0,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
personal,create-event,C>A>I,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
personal,create-events,C>A>I,,I,3,3,3,4,4,0,36,36,0,C,36,medium,False,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,0.0
personal,update-event,C>A>I,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
personal,delete-event,C>A>I,,I+A,3,3,3,5,5,5,45,45,45,C,45,medium,False,False,3×3×5,"deny — disclosure cannot be undone, so approval buys nothing",45.0,medium,0.0
personal,get-freebusy,C>A>I,,C,3,3,3,5,0,0,45,0,0,C,45,medium,True,False,3×3×5,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,27.0
personal,respond-to-event,C>A>I,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
team,list-events,C>A>I,,C,2,3,3,2,0,0,12,0,0,C,12,low,False,False,3×2×2,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,0.0
team,search-events,C>A>I,,C,2,3,3,4,0,0,24,0,0,C,24,medium,True,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,6.0
team,get-event,C>A>I,,C,1,3,3,5,0,0,15,0,0,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
team,create-event,C>A>I,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
team,create-events,C>A>I,,I,3,3,3,4,4,0,36,36,0,C,36,medium,False,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,0.0
team,update-event,C>A>I,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
team,delete-event,C>A>I,,I+A,3,3,3,5,5,5,45,45,45,C,45,medium,False,False,3×3×5,"deny — disclosure cannot be undone, so approval buys nothing",45.0,medium,0.0
team,get-freebusy,C>A>I,,C,2,3,3,5,0,0,30,0,0,C,30,medium,True,False,3×2×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,18.0
team,respond-to-event,C>A>I,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
event-records,list-events,A>I>C,,C,3,3,3,2,0,2,18,0,18,A,18,medium,False,False,3×3×2,throttle — availability loss is usually transient,18.0,medium,0.0
event-records,search-events,A>I>C,,C,3,3,3,4,0,3,36,0,27,C,36,medium,True,False,3×3×4,"deny — disclosure cannot be undone, so approval buys nothing",27.0,medium,9.0
event-records,get-event,A>I>C,,C,1,3,3,5,0,3,15,0,9,C,15,low,True,False,3×1×5,"deny — disclosure cannot be undone, so approval buys nothing",9.0,low,6.0
event-records,create-event,A>I>C,,I,2,3,3,0,4,4,0,24,24,A,24,medium,False,False,3×2×4,throttle — availability loss is usually transient,24.0,medium,0.0
event-records,create-events,A>I>C,,I,3,3,3,0,4,4,0,36,36,A,36,medium,False,False,3×3×4,throttle — availability loss is usually transient,36.0,medium,0.0
event-records,update-event,A>I>C,,I,3,3,3,0,4,4,0,36,36,A,36,medium,False,False,3×3×4,throttle — availability loss is usually transient,36.0,medium,0.0
event-records,delete-event,A>I>C,,I+A,3,3,3,0,5,5,0,45,45,A,45,medium,False,False,3×3×5,throttle — availability loss is usually transient,45.0,medium,0.0
event-records,respond-to-event,A>I>C,,I,2,3,3,0,4,4,0,24,24,A,24,medium,False,False,3×2×4,throttle — availability loss is usually transient,24.0,medium,0.0
calendar-records,list-calendars,C>I>A,,C,2,2,2,2,0,0,8,0,0,C,8,low,False,False,2×2×2,"deny — disclosure cannot be undone, so approval buys nothing",8.0,low,0.0
free-busy-availability,get-freebusy,C>A>I,metadata-only,C,3,3,3,5,0,0,45,0,0,C,45,medium,True,False,3×3×5,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,27.0
calendar-directory,list-calendars,C>I>A,metadata-only,C,1,2,2,2,0,0,4,0,0,C,4,low,False,False,2×1×2,"deny — disclosure cannot be undone, so approval buys nothing",4.0,low,0.0
rsvp-state,respond-to-event,I>A>C,metadata-only,I,2,2,2,0,4,0,0,16,0,I,16,low,False,False,2×2×4,require human confirmation — recoverable only if a restore path exists,16.0,low,0.0
holidays,list-calendars,I>C>A,public,C,1,1,1,2,2,0,2,2,0,I,2,low,False,False,1×1×2,require human confirmation — recoverable only if a restore path exists,2.0,low,0.0
holidays,list-events,I>C>A,public,C,4,1,1,2,2,0,8,8,0,I,8,low,False,False,1×4×2,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
holidays,search-events,I>C>A,public,C,2,1,1,4,3,0,8,6,0,C,8,low,True,False,1×2×4,"deny — disclosure cannot be undone, so approval buys nothing",6.0,low,2.0
holidays,get-event,I>C>A,public,C,1,1,1,5,3,0,5,3,0,C,5,low,True,False,1×1×5,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,2.0
holidays,create-event,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
holidays,delete-event,I>C>A,public,I+A,3,1,1,0,5,5,0,15,15,I,15,low,False,False,1×3×5,require human confirmation — recoverable only if a restore path exists,15.0,low,0.0
color-catalog,list-colors,none,public,C,4,1,1,2,2,2,8,8,8,C,8,low,False,False,1×4×2,"deny — disclosure cannot be undone, so approval buys nothing",8.0,low,0.0
