asset,tool,loss_axis,flags,violates,blast,sens_asset,S,I_C,I_I,I_A,score_C,score_I,score_A,driver,score_v6,band_v6,raised_by_cia,floored_by_sensitivity,workings,control,score_v5,band_v5,delta
on-call,conversations_mark,C>I>A,,I,1,4,4,2,4,0,8,16,0,I,25,medium,True,True,4×1×4,require human confirmation — recoverable only if a restore path exists,8.0,low,17.0
on-call,conversations_replies,C>I>A,,C,2,4,4,5,0,0,40,0,0,C,40,medium,True,False,4×2×5,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,16.0
on-call,conversations_search_messages,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,32.0
on-call,conversations_unreads,C>I>A,,C,2,4,4,3,0,0,24,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
team-leads,conversations_add_message,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
team-leads,conversations_history,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
team-leads,conversations_join,C>I>A,,I,4,4,4,4,4,0,64,64,0,C,64,high,False,False,4×4×4,"deny — disclosure cannot be undone, so approval buys nothing",64.0,high,0.0
team-leads,conversations_leave,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
team-leads,conversations_mark,C>I>A,,I,1,4,4,2,4,0,8,16,0,I,25,medium,True,True,4×1×4,require human confirmation — recoverable only if a restore path exists,8.0,low,17.0
team-leads,conversations_replies,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
team-leads,conversations_search_messages,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,32.0
team-leads,conversations_unreads,C>I>A,,C,1,4,4,3,0,0,12,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),12.0,low,13.0
research-team,conversations_add_message,C>I>A,,C+I,3,4,4,4,5,0,48,60,0,I,60,high,True,False,4×3×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,12.0
research-team,conversations_history,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
research-team,conversations_join,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
research-team,conversations_leave,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
research-team,conversations_mark,C>I>A,,I,1,4,4,2,4,0,8,16,0,I,25,medium,True,True,4×1×4,require human confirmation — recoverable only if a restore path exists,8.0,low,17.0
research-team,conversations_replies,C>I>A,,C,3,4,4,5,0,0,60,0,0,C,60,high,True,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,24.0
research-team,conversations_search_messages,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,32.0
research-team,conversations_unreads,C>I>A,,C,3,4,4,3,0,0,36,0,0,C,36,medium,False,False,4×3×3,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,0.0
engineering,conversations_add_message,C>I>A,,C+I,4,3,3,4,5,0,48,60,0,I,60,high,True,False,3×4×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,12.0
engineering,conversations_history,C>I>A,,C,4,3,3,5,0,0,60,0,0,C,60,high,True,False,3×4×5,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,24.0
engineering,conversations_join,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
engineering,conversations_leave,C>I>A,,I,2,3,3,4,4,0,24,24,0,C,24,medium,False,False,3×2×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
engineering,conversations_mark,C>I>A,,I,1,3,3,2,4,0,6,12,0,I,12,low,True,False,3×1×4,require human confirmation — recoverable only if a restore path exists,6.0,low,6.0
engineering,conversations_replies,C>I>A,,C,3,3,3,5,0,0,45,0,0,C,45,medium,True,False,3×3×5,"deny — disclosure cannot be undone, so approval buys nothing",27.0,medium,18.0
engineering,conversations_search_messages,C>I>A,,C+I,3,3,3,4,5,0,36,45,0,I,45,medium,True,False,3×3×5,require human confirmation — recoverable only if a restore path exists,27.0,medium,18.0
engineering,conversations_unreads,C>I>A,,C,2,3,3,3,0,0,18,0,0,C,18,medium,False,False,3×2×3,"deny — disclosure cannot be undone, so approval buys nothing",18.0,medium,0.0
general,channels_list,C>I>A,public,C,1,1,1,2,0,0,2,0,0,C,2,low,False,False,1×1×2,"deny — disclosure cannot be undone, so approval buys nothing",2.0,low,0.0
general,channels_me,C>I>A,public,C,1,1,1,2,0,0,2,0,0,C,2,low,False,False,1×1×2,"deny — disclosure cannot be undone, so approval buys nothing",2.0,low,0.0
general,conversations_add_message,C>I>A,public,C+I,4,1,1,4,5,0,16,20,0,I,20,medium,True,False,1×4×5,require human confirmation — recoverable only if a restore path exists,16.0,low,4.0
general,conversations_history,C>I>A,public,C,4,1,1,5,0,0,20,0,0,C,20,medium,True,False,1×4×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,8.0
general,conversations_join,C>I>A,public,I,2,1,1,4,4,0,8,8,0,C,8,low,False,False,1×2×4,"deny — disclosure cannot be undone, so approval buys nothing",8.0,low,0.0
general,conversations_leave,C>I>A,public,I,2,1,1,4,4,0,8,8,0,C,8,low,False,False,1×2×4,"deny — disclosure cannot be undone, so approval buys nothing",8.0,low,0.0
general,conversations_mark,C>I>A,public,I,1,1,1,2,4,0,2,4,0,I,4,low,True,False,1×1×4,require human confirmation — recoverable only if a restore path exists,2.0,low,2.0
general,conversations_replies,C>I>A,public,C,2,1,1,5,0,0,10,0,0,C,10,low,True,False,1×2×5,"deny — disclosure cannot be undone, so approval buys nothing",6.0,low,4.0
general,conversations_search_messages,C>I>A,public,C+I,4,1,1,4,5,0,16,20,0,I,20,medium,True,False,1×4×5,require human confirmation — recoverable only if a restore path exists,12.0,low,8.0
general,conversations_unreads,C>I>A,public,C,1,1,1,3,0,0,3,0,0,C,3,low,False,False,1×1×3,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,0.0
announcements,channels_list,I>C>A,public,C,1,1,1,2,2,0,2,2,0,I,2,low,False,False,1×1×2,require human confirmation — recoverable only if a restore path exists,2.0,low,0.0
announcements,conversations_add_message,I>C>A,public,C+I,4,1,1,4,5,0,16,20,0,I,20,medium,True,False,1×4×5,require human confirmation — recoverable only if a restore path exists,16.0,low,4.0
announcements,conversations_history,I>C>A,public,C,4,1,1,5,3,0,20,12,0,C,20,medium,True,False,1×4×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,8.0
announcements,conversations_join,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
announcements,conversations_leave,I>C>A,public,I,2,1,1,0,4,0,0,8,0,I,8,low,False,False,1×2×4,require human confirmation — recoverable only if a restore path exists,8.0,low,0.0
announcements,conversations_mark,I>C>A,public,I,1,1,1,0,4,0,0,4,0,I,4,low,True,False,1×1×4,require human confirmation — recoverable only if a restore path exists,2.0,low,2.0
announcements,conversations_replies,I>C>A,public,C,4,1,1,5,3,0,20,12,0,C,20,medium,True,False,1×4×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,8.0
announcements,conversations_search_messages,I>C>A,public,C+I,4,1,1,4,5,0,16,20,0,I,20,medium,True,False,1×4×5,require human confirmation — recoverable only if a restore path exists,12.0,low,8.0
announcements,conversations_unreads,I>C>A,public,C,1,1,1,2,3,0,2,3,0,I,3,low,False,False,1×1×3,require human confirmation — recoverable only if a restore path exists,3.0,low,0.0
random,channels_list,C>I>A,public,C,1,1,1,2,0,0,2,0,0,C,2,low,False,False,1×1×2,"deny — disclosure cannot be undone, so approval buys nothing",2.0,low,0.0
random,channels_me,C>I>A,public,C,1,1,1,2,0,0,2,0,0,C,2,low,False,False,1×1×2,"deny — disclosure cannot be undone, so approval buys nothing",2.0,low,0.0
random,conversations_add_message,C>I>A,public,C+I,2,1,1,4,5,0,8,10,0,I,10,low,True,False,1×2×5,require human confirmation — recoverable only if a restore path exists,8.0,low,2.0
random,conversations_history,C>I>A,public,C,4,1,1,5,0,0,20,0,0,C,20,medium,True,False,1×4×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,8.0
random,conversations_join,C>I>A,public,I,2,1,1,4,4,0,8,8,0,C,8,low,False,False,1×2×4,"deny — disclosure cannot be undone, so approval buys nothing",8.0,low,0.0
random,conversations_leave,C>I>A,public,I,2,1,1,4,4,0,8,8,0,C,8,low,False,False,1×2×4,"deny — disclosure cannot be undone, so approval buys nothing",8.0,low,0.0
random,conversations_mark,C>I>A,public,I,1,1,1,2,4,0,2,4,0,I,4,low,True,False,1×1×4,require human confirmation — recoverable only if a restore path exists,2.0,low,2.0
random,conversations_replies,C>I>A,public,C,4,1,1,5,0,0,20,0,0,C,20,medium,True,False,1×4×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,8.0
random,conversations_search_messages,C>I>A,public,C+I,4,1,1,4,5,0,16,20,0,I,20,medium,True,False,1×4×5,require human confirmation — recoverable only if a restore path exists,12.0,low,8.0
random,conversations_unreads,C>I>A,public,C,1,1,1,3,0,0,3,0,0,C,3,low,False,False,1×1×3,"deny — disclosure cannot be undone, so approval buys nothing",3.0,low,0.0
channel-messages,conversations_add_message,C>I>A,population,C+I,5,4,4,4,5,0,80,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,80.0,high,45.0
channel-messages,conversations_history,C>I>A,population,C,5,4,4,5,0,0,125,0,0,C,125,critical,True,False,4×5×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,65.0
channel-messages,conversations_replies,C>I>A,population,C,5,4,4,5,0,0,125,0,0,C,125,critical,True,False,4×5×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,65.0
channel-messages,conversations_search_messages,C>I>A,population,C+I,5,4,4,4,5,0,80,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,60.0,high,65.0
channel-messages,conversations_unreads,C>I>A,population,C,3,4,4,3,0,0,36,0,0,C,36,medium,False,False,4×3×3,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,0.0
usergroup-membership,usergroups_create,I>C>A,hub,I,3,4,4,0,4,0,0,48,0,I,48,medium,False,False,4×3×4,require human confirmation — recoverable only if a restore path exists,48.0,medium,0.0
usergroup-membership,usergroups_list,I>C>A,hub,C,5,4,4,2,2,0,40,50,0,I,50,high,True,False,4×5×2,require human confirmation — recoverable only if a restore path exists,40.0,medium,10.0
usergroup-membership,usergroups_me,I>C>A,hub,C,3,4,4,2,5,0,24,60,0,I,60,high,False,False,4×3×5,require human confirmation — recoverable only if a restore path exists,60.0,high,0.0
usergroup-membership,usergroups_update,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
usergroup-membership,usergroups_users_update,I>C>A,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
user-group-membership,usergroups_create,I>C>A,hub,I,4,4,4,0,4,0,0,80,0,I,80,high,True,False,4×4×4,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
user-group-membership,usergroups_list,I>C>A,hub,C,5,4,4,2,2,0,40,50,0,I,50,high,True,False,4×5×2,require human confirmation — recoverable only if a restore path exists,40.0,medium,10.0
user-group-membership,usergroups_me,I>C>A,hub,C,5,4,4,2,5,0,40,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
user-group-membership,usergroups_update,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
user-group-membership,usergroups_users_update,I>C>A,hub,I,5,4,4,0,5,0,0,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
agent-channel-membership,channels_me,I>C>A,hub,C,4,4,4,2,2,0,32,40,0,I,40,medium,True,False,4×4×2,require human confirmation — recoverable only if a restore path exists,32.0,medium,8.0
agent-channel-membership,conversations_join,I>C>A,hub,I,5,4,4,0,4,0,0,100,0,I,100,critical,True,False,4×5×4,require human confirmation — recoverable only if a restore path exists,80.0,high,20.0
agent-channel-membership,conversations_leave,I>C>A,hub,I,4,4,4,0,4,0,0,80,0,I,80,high,True,False,4×4×4,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
agent-channel-membership,usergroups_me,I>C>A,hub,C,5,4,4,2,5,0,40,125,0,I,125,critical,True,False,4×5×5,require human confirmation — recoverable only if a restore path exists,100.0,critical,25.0
user-directory,users_search,C>I>A,population,C,5,4,4,4,0,0,100,0,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,40.0
channel-directory,channels_list,C>I>A,metadata-only,C,4,2,2,2,0,0,16,0,0,C,16,low,False,False,2×4×2,"deny — disclosure cannot be undone, so approval buys nothing",16.0,low,0.0
usergroup-directory,usergroups_create,C>I>A,metadata-only,I,2,2,2,4,4,0,16,16,0,C,16,low,False,False,2×2×4,"deny — disclosure cannot be undone, so approval buys nothing",16.0,low,0.0
usergroup-directory,usergroups_list,C>I>A,metadata-only,C,4,2,2,2,0,0,16,0,0,C,16,low,False,False,2×4×2,"deny — disclosure cannot be undone, so approval buys nothing",16.0,low,0.0
usergroup-directory,usergroups_update,C>I>A,metadata-only,I,4,2,2,4,4,0,32,32,0,C,32,medium,False,False,2×4×4,"deny — disclosure cannot be undone, so approval buys nothing",32.0,medium,0.0
usergroup-metadata,usergroups_create,C>I>A,metadata-only,I,3,2,2,4,4,0,24,24,0,C,24,medium,False,False,2×3×4,"deny — disclosure cannot be undone, so approval buys nothing",24.0,medium,0.0
usergroup-metadata,usergroups_list,C>I>A,metadata-only,C,4,2,2,2,0,0,16,0,0,C,16,low,False,False,2×4×2,"deny — disclosure cannot be undone, so approval buys nothing",16.0,low,0.0
usergroup-metadata,usergroups_update,C>I>A,metadata-only,I,2,2,2,4,4,0,16,16,0,C,16,low,False,False,2×2×4,"deny — disclosure cannot be undone, so approval buys nothing",16.0,low,0.0
read-markers,conversations_mark,I>A>C,metadata-only,I,1,2,2,0,4,0,0,8,0,I,8,low,True,False,2×1×4,require human confirmation — recoverable only if a restore path exists,4.0,low,4.0
read-markers,conversations_unreads,I>A>C,metadata-only,C,3,2,2,2,3,0,12,18,0,I,18,medium,False,False,2×3×3,require human confirmation — recoverable only if a restore path exists,18.0,medium,0.0
