server,asset,asset_sensitivity,tool,tool_impact,blast_baseline,score_baseline,band_baseline,blast_plain,score_plain,band_plain,blast_gated,score_gated,band_gated
calendar:real,event-attendee-lists,4,list-events,3,3,36.0,high,3,36.0,high,3,36.0,high
calendar:real,outbound-invite-email,5,list-events,3,,,na,,,na,,,na
calendar:real,rsvp-state,4,list-events,3,,,na,,,na,,,na
calendar:real,connected-account-config,4,list-events,3,,,na,,,na,,,na
calendar:real,free-busy-availability,5,list-events,3,3,45.0,high,4,60.0,critical,3,45.0,high
calendar:real,calendar-directory,4,list-events,3,,,na,,,na,,,na
calendar:real,color-catalog,3,list-events,3,,,na,,,na,,,na
calendar:real,calendar-records,4,list-events,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
calendar:real,account-directory,5,list-events,3,,,na,,,na,,,na
calendar:real,personal,4,search-events,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,team,4,search-events,3,3,36.0,high,3,36.0,high,3,36.0,high
calendar:real,executive,4,search-events,3,3,36.0,high,3,36.0,high,3,36.0,high
calendar:real,recruiting,5,search-events,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
calendar:real,contacts,5,search-events,3,,,na,,,na,,,na
calendar:real,holidays,1,search-events,3,2,6.0,medium,2,6.0,medium,2,6.0,medium
calendar:real,event-records,4,search-events,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,event-attendee-lists,4,search-events,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,outbound-invite-email,5,search-events,3,,,na,,,na,,,na
calendar:real,rsvp-state,4,search-events,3,,,na,,,na,,,na
calendar:real,connected-account-config,4,search-events,3,,,na,,,na,,,na
calendar:real,free-busy-availability,5,search-events,3,3,45.0,high,4,60.0,critical,3,45.0,high
calendar:real,calendar-directory,4,search-events,3,,,na,,,na,,,na
calendar:real,color-catalog,3,search-events,3,,,na,,,na,,,na
calendar:real,calendar-records,4,search-events,3,3,36.0,high,3,36.0,high,3,36.0,high
calendar:real,account-directory,5,search-events,3,,,na,,,na,,,na
calendar:real,personal,4,get-event,3,1,12.0,high,3,36.0,high,1,12.0,high
calendar:real,team,4,get-event,3,1,12.0,high,3,36.0,high,1,12.0,high
calendar:real,executive,4,get-event,3,1,12.0,high,3,36.0,high,1,12.0,high
calendar:real,recruiting,5,get-event,3,1,15.0,high,4,60.0,critical,1,15.0,high
calendar:real,contacts,5,get-event,3,,,na,,,na,,,na
calendar:real,holidays,1,get-event,3,1,3.0,medium,1,3.0,medium,1,3.0,medium
calendar:real,event-records,4,get-event,3,1,12.0,high,3,36.0,high,1,12.0,high
calendar:real,event-attendee-lists,4,get-event,3,1,12.0,high,3,36.0,high,1,12.0,high
calendar:real,outbound-invite-email,5,get-event,3,,,na,,,na,,,na
calendar:real,rsvp-state,4,get-event,3,,,na,,,na,,,na
calendar:real,connected-account-config,4,get-event,3,,,na,,,na,,,na
calendar:real,free-busy-availability,5,get-event,3,,,na,,,na,,,na
calendar:real,calendar-directory,4,get-event,3,,,na,,,na,,,na
calendar:real,color-catalog,3,get-event,3,,,na,,,na,,,na
calendar:real,calendar-records,4,get-event,3,1,12.0,high,3,36.0,high,1,12.0,high
calendar:real,account-directory,5,get-event,3,,,na,,,na,,,na
calendar:real,personal,4,list-colors,2,,,na,,,na,,,na
calendar:real,team,4,list-colors,2,,,na,,,na,,,na
calendar:real,executive,4,list-colors,2,,,na,,,na,,,na
calendar:real,recruiting,5,list-colors,2,,,na,,,na,,,na
calendar:real,contacts,5,list-colors,2,,,na,,,na,,,na
calendar:real,holidays,1,list-colors,2,,,na,,,na,,,na
calendar:real,event-records,4,list-colors,2,,,na,,,na,,,na
calendar:real,event-attendee-lists,4,list-colors,2,,,na,,,na,,,na
calendar:real,outbound-invite-email,5,list-colors,2,,,na,,,na,,,na
calendar:real,rsvp-state,4,list-colors,2,,,na,,,na,,,na
calendar:real,connected-account-config,4,list-colors,2,,,na,,,na,,,na
calendar:real,free-busy-availability,5,list-colors,2,,,na,,,na,,,na
calendar:real,calendar-directory,4,list-colors,2,,,na,,,na,,,na
calendar:real,color-catalog,3,list-colors,2,1,6.0,low,1,6.0,low,1,6.0,low
calendar:real,calendar-records,4,list-colors,2,,,na,,,na,,,na
calendar:real,account-directory,5,list-colors,2,,,na,,,na,,,na
calendar:real,personal,4,create-event,4,1,16.0,medium,3,48.0,high,3,48.0,high
calendar:real,team,4,create-event,4,1,16.0,medium,3,48.0,high,3,48.0,high
calendar:real,executive,4,create-event,4,1,16.0,medium,3,48.0,high,3,48.0,high
calendar:real,recruiting,5,create-event,4,1,20.0,medium,4,80.0,high,4,80.0,high
calendar:real,contacts,5,create-event,4,,,na,,,na,,,na
calendar:real,holidays,1,create-event,4,1,4.0,low,1,4.0,low,1,4.0,low
calendar:real,event-records,4,create-event,4,1,16.0,medium,3,48.0,high,3,48.0,high
calendar:real,event-attendee-lists,4,create-event,4,2,32.0,high,3,48.0,high,3,48.0,high
calendar:real,outbound-invite-email,5,create-event,4,,,na,,,na,,,na
calendar:real,rsvp-state,4,create-event,4,,,na,,,na,,,na
calendar:real,connected-account-config,4,create-event,4,,,na,,,na,,,na
calendar:real,free-busy-availability,5,create-event,4,,,na,,,na,,,na
calendar:real,calendar-directory,4,create-event,4,,,na,,,na,,,na
calendar:real,color-catalog,3,create-event,4,,,na,,,na,,,na
calendar:real,calendar-records,4,create-event,4,,,na,,,na,,,na
calendar:real,account-directory,5,create-event,4,,,na,,,na,,,na
calendar:real,personal,4,create-events,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,team,4,create-events,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,executive,4,create-events,5,4,80.0,high,4,80.0,high,4,80.0,high
calendar:real,recruiting,5,create-events,5,5,125.0,high,5,125.0,high,5,125.0,high
calendar:real,contacts,5,create-events,5,,,na,,,na,,,na
calendar:real,holidays,1,create-events,5,3,15.0,medium,3,15.0,medium,3,15.0,medium
calendar:real,event-records,4,create-events,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,event-attendee-lists,4,create-events,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,outbound-invite-email,5,create-events,5,,,na,,,na,,,na
calendar:real,rsvp-state,4,create-events,5,,,na,,,na,,,na
calendar:real,connected-account-config,4,create-events,5,,,na,,,na,,,na
calendar:real,free-busy-availability,5,create-events,5,,,na,,,na,,,na
calendar:real,calendar-directory,4,create-events,5,,,na,,,na,,,na
calendar:real,color-catalog,3,create-events,5,,,na,,,na,,,na
calendar:real,calendar-records,4,create-events,5,,,na,,,na,,,na
calendar:real,account-directory,5,create-events,5,,,na,,,na,,,na
calendar:real,personal,4,update-event,4,2,32.0,high,3,48.0,high,3,48.0,high
calendar:real,team,4,update-event,4,3,48.0,high,3,48.0,high,3,48.0,high
calendar:real,executive,4,update-event,4,3,48.0,high,3,48.0,high,3,48.0,high
calendar:real,recruiting,5,update-event,4,2,40.0,high,4,80.0,high,4,80.0,high
calendar:real,contacts,5,update-event,4,,,na,,,na,,,na
calendar:real,holidays,1,update-event,4,1,4.0,low,1,4.0,low,1,4.0,low
calendar:real,event-records,4,update-event,4,3,48.0,high,3,48.0,high,3,48.0,high
calendar:real,event-attendee-lists,4,update-event,4,3,48.0,high,3,48.0,high,3,48.0,high
calendar:real,outbound-invite-email,5,update-event,4,,,na,,,na,,,na
calendar:real,rsvp-state,4,update-event,4,,,na,,,na,,,na
calendar:real,connected-account-config,4,update-event,4,,,na,,,na,,,na
calendar:real,free-busy-availability,5,update-event,4,,,na,,,na,,,na
calendar:real,calendar-directory,4,update-event,4,,,na,,,na,,,na
calendar:real,color-catalog,3,update-event,4,,,na,,,na,,,na
calendar:real,calendar-records,4,update-event,4,,,na,,,na,,,na
calendar:real,account-directory,5,update-event,4,,,na,,,na,,,na
calendar:real,personal,4,delete-event,5,1,20.0,medium,3,60.0,high,3,60.0,high
calendar:real,team,4,delete-event,5,1,20.0,medium,3,60.0,high,3,60.0,high
calendar:real,executive,4,delete-event,5,1,20.0,medium,3,60.0,high,3,60.0,high
calendar:real,recruiting,5,delete-event,5,1,25.0,high,4,100.0,high,4,100.0,high
calendar:real,contacts,5,delete-event,5,,,na,,,na,,,na
calendar:real,holidays,1,delete-event,5,1,5.0,low,1,5.0,low,1,5.0,low
calendar:real,event-records,4,delete-event,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,event-attendee-lists,4,delete-event,5,,,na,,,na,,,na
calendar:real,outbound-invite-email,5,delete-event,5,,,na,,,na,,,na
calendar:real,rsvp-state,4,delete-event,5,,,na,,,na,,,na
calendar:real,connected-account-config,4,delete-event,5,,,na,,,na,,,na
calendar:real,free-busy-availability,5,delete-event,5,,,na,,,na,,,na
calendar:real,calendar-directory,4,delete-event,5,,,na,,,na,,,na
calendar:real,color-catalog,3,delete-event,5,,,na,,,na,,,na
calendar:real,calendar-records,4,delete-event,5,,,na,,,na,,,na
calendar:real,account-directory,5,delete-event,5,,,na,,,na,,,na
calendar:real,personal,4,get-freebusy,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,team,4,get-freebusy,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,executive,4,get-freebusy,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,recruiting,5,get-freebusy,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
calendar:real,contacts,5,get-freebusy,3,,,na,,,na,,,na
calendar:real,holidays,1,get-freebusy,3,2,6.0,medium,2,6.0,medium,2,6.0,medium
calendar:real,event-records,4,get-freebusy,3,,,na,,,na,,,na
calendar:real,event-attendee-lists,4,get-freebusy,3,,,na,,,na,,,na
calendar:real,outbound-invite-email,5,get-freebusy,3,,,na,,,na,,,na
calendar:real,rsvp-state,4,get-freebusy,3,,,na,,,na,,,na
calendar:real,connected-account-config,4,get-freebusy,3,,,na,,,na,,,na
calendar:real,free-busy-availability,5,get-freebusy,3,3,45.0,high,4,60.0,critical,3,45.0,high
calendar:real,calendar-directory,4,get-freebusy,3,,,na,,,na,,,na
calendar:real,color-catalog,3,get-freebusy,3,,,na,,,na,,,na
calendar:real,calendar-records,4,get-freebusy,3,3,36.0,high,3,36.0,high,3,36.0,high
calendar:real,account-directory,5,get-freebusy,3,,,na,,,na,,,na
calendar:real,personal,4,get-current-time,1,,,na,,,na,,,na
calendar:real,team,4,get-current-time,1,,,na,,,na,,,na
calendar:real,executive,4,get-current-time,1,,,na,,,na,,,na
calendar:real,recruiting,5,get-current-time,1,,,na,,,na,,,na
calendar:real,contacts,5,get-current-time,1,,,na,,,na,,,na
calendar:real,holidays,1,get-current-time,1,,,na,,,na,,,na
calendar:real,event-records,4,get-current-time,1,,,na,,,na,,,na
calendar:real,event-attendee-lists,4,get-current-time,1,,,na,,,na,,,na
calendar:real,outbound-invite-email,5,get-current-time,1,,,na,,,na,,,na
calendar:real,rsvp-state,4,get-current-time,1,,,na,,,na,,,na
calendar:real,connected-account-config,4,get-current-time,1,,,na,,,na,,,na
calendar:real,free-busy-availability,5,get-current-time,1,,,na,,,na,,,na
calendar:real,calendar-directory,4,get-current-time,1,,,na,,,na,,,na
calendar:real,color-catalog,3,get-current-time,1,,,na,,,na,,,na
calendar:real,calendar-records,4,get-current-time,1,,,na,,,na,,,na
calendar:real,account-directory,5,get-current-time,1,,,na,,,na,,,na
calendar:real,personal,4,respond-to-event,5,1,20.0,medium,3,60.0,high,3,60.0,high
calendar:real,team,4,respond-to-event,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,executive,4,respond-to-event,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,recruiting,5,respond-to-event,5,3,75.0,high,4,100.0,high,4,100.0,high
calendar:real,contacts,5,respond-to-event,5,,,na,,,na,,,na
calendar:real,holidays,1,respond-to-event,5,,,na,,,na,,,na
calendar:real,event-records,4,respond-to-event,5,3,60.0,high,3,60.0,high,3,60.0,high
calendar:real,event-attendee-lists,4,respond-to-event,5,2,40.0,high,3,60.0,high,3,60.0,high
calendar:real,outbound-invite-email,5,respond-to-event,5,,,na,,,na,,,na
calendar:real,rsvp-state,4,respond-to-event,5,2,40.0,high,3,60.0,high,3,60.0,high
calendar:real,connected-account-config,4,respond-to-event,5,,,na,,,na,,,na
calendar:real,free-busy-availability,5,respond-to-event,5,,,na,,,na,,,na
calendar:real,calendar-directory,4,respond-to-event,5,,,na,,,na,,,na
calendar:real,color-catalog,3,respond-to-event,5,,,na,,,na,,,na
calendar:real,calendar-records,4,respond-to-event,5,,,na,,,na,,,na
calendar:real,account-directory,5,respond-to-event,5,,,na,,,na,,,na
calendar:real,personal,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,team,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,executive,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,recruiting,5,manage-accounts,5,,,na,,,na,,,na
calendar:real,contacts,5,manage-accounts,5,,,na,,,na,,,na
calendar:real,holidays,1,manage-accounts,5,,,na,,,na,,,na
calendar:real,event-records,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,event-attendee-lists,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,outbound-invite-email,5,manage-accounts,5,,,na,,,na,,,na
calendar:real,rsvp-state,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,connected-account-config,4,manage-accounts,5,5,100.0,high,5,100.0,high,5,100.0,high
calendar:real,free-busy-availability,5,manage-accounts,5,,,na,,,na,,,na
calendar:real,calendar-directory,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,color-catalog,3,manage-accounts,5,,,na,,,na,,,na
calendar:real,calendar-records,4,manage-accounts,5,,,na,,,na,,,na
calendar:real,account-directory,5,manage-accounts,5,4,100.0,high,4,100.0,high,4,100.0,high
