server,mcp_kind,asset,asset_sensitivity,asset_description,tool,tool_impact,tool_description,blast_radius,blast_escape,cell_score
sqlite:cbg,SQL database,experiments,3,"Table with columns: id, project_id, dataset_id, run_label, started_at, status, notes",read_query,3,Run a SELECT statement (read-only enforced).,2,none,18.0
sqlite:cbg,SQL database,experiments,3,"Table with columns: id, project_id, dataset_id, run_label, started_at, status, notes",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,60.0
sqlite:cbg,SQL database,experiments,3,"Table with columns: id, project_id, dataset_id, run_label, started_at, status, notes",insert_row,4,Insert one row into a table.,1,none,12.0
sqlite:cbg,SQL database,publications,3,"Table with columns: id, title, venue, year, doi, status, project_id",list_tables,2,Discover available tables.,,none,
sqlite:cbg,SQL database,publications,3,"Table with columns: id, title, venue, year, doi, status, project_id",describe_table,2,Column names and types for one table.,4,none,24.0
sqlite:cbg,SQL database,publications,3,"Table with columns: id, title, venue, year, doi, status, project_id",read_query,3,Run a SELECT statement (read-only enforced).,3,none,27.0
sqlite:cbg,SQL database,publications,3,"Table with columns: id, title, venue, year, doi, status, project_id",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,60.0
sqlite:cbg,SQL database,publications,3,"Table with columns: id, title, venue, year, doi, status, project_id",insert_row,4,Insert one row into a table.,1,none,12.0
sqlite:cbg,SQL database,grants,4,"Table with columns: id, sponsor, grant_no, pi_employee_id, amount_usd, start_date, end_date, status",list_tables,2,Discover available tables.,1,none,8.0
sqlite:cbg,SQL database,grants,4,"Table with columns: id, sponsor, grant_no, pi_employee_id, amount_usd, start_date, end_date, status",describe_table,2,Column names and types for one table.,1,none,8.0
sqlite:cbg,SQL database,grants,4,"Table with columns: id, sponsor, grant_no, pi_employee_id, amount_usd, start_date, end_date, status",read_query,3,Run a SELECT statement (read-only enforced).,2,none,24.0
sqlite:cbg,SQL database,grants,4,"Table with columns: id, sponsor, grant_no, pi_employee_id, amount_usd, start_date, end_date, status",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,80.0
sqlite:cbg,SQL database,grants,4,"Table with columns: id, sponsor, grant_no, pi_employee_id, amount_usd, start_date, end_date, status",insert_row,4,Insert one row into a table.,1,none,16.0
sqlite:cbg,SQL database,api_keys,5,"Table with columns: id, service, key, owner_email",list_tables,2,Discover available tables.,1,none,10.0
sqlite:cbg,SQL database,api_keys,5,"Table with columns: id, service, key, owner_email",describe_table,2,Column names and types for one table.,1,none,10.0
sqlite:cbg,SQL database,api_keys,5,"Table with columns: id, service, key, owner_email",read_query,3,Run a SELECT statement (read-only enforced).,5,b,75.0
sqlite:cbg,SQL database,api_keys,5,"Table with columns: id, service, key, owner_email",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,5,b,125.0
sqlite:cbg,SQL database,api_keys,5,"Table with columns: id, service, key, owner_email",insert_row,4,Insert one row into a table.,1,none,20.0
sqlite:cbg,SQL database,table-catalog,2,(auto-generated asset to home an uncovered tool; description not persisted),list_tables,2,Discover available tables.,2,none,8.0
sqlite:cbg,SQL database,table-catalog,2,(auto-generated asset to home an uncovered tool; description not persisted),describe_table,2,Column names and types for one table.,,none,
sqlite:cbg,SQL database,table-catalog,2,(auto-generated asset to home an uncovered tool; description not persisted),read_query,3,Run a SELECT statement (read-only enforced).,4,none,24.0
sqlite:cbg,SQL database,table-catalog,2,(auto-generated asset to home an uncovered tool; description not persisted),write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,,none,
sqlite:cbg,SQL database,table-catalog,2,(auto-generated asset to home an uncovered tool; description not persisted),insert_row,4,Insert one row into a table.,,none,
sqlite:cbg,SQL database,table-metadata,3,(auto-generated asset to home an uncovered tool; description not persisted),list_tables,2,Discover available tables.,,none,
sqlite:cbg,SQL database,table-metadata,3,(auto-generated asset to home an uncovered tool; description not persisted),describe_table,2,Column names and types for one table.,1,none,6.0
sqlite:cbg,SQL database,table-metadata,3,(auto-generated asset to home an uncovered tool; description not persisted),read_query,3,Run a SELECT statement (read-only enforced).,2,none,18.0
sqlite:cbg,SQL database,table-metadata,3,(auto-generated asset to home an uncovered tool; description not persisted),write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,,none,
sqlite:cbg,SQL database,table-metadata,3,(auto-generated asset to home an uncovered tool; description not persisted),insert_row,4,Insert one row into a table.,,none,
sqlite:cbg,SQL database,database-records,3,(auto-generated asset to home an uncovered tool; description not persisted),list_tables,2,Discover available tables.,,none,
sqlite:cbg,SQL database,database-records,3,(auto-generated asset to home an uncovered tool; description not persisted),describe_table,2,Column names and types for one table.,,none,
sqlite:cbg,SQL database,database-records,3,(auto-generated asset to home an uncovered tool; description not persisted),read_query,3,Run a SELECT statement (read-only enforced).,2,none,18.0
sqlite:cbg,SQL database,database-records,3,(auto-generated asset to home an uncovered tool; description not persisted),write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,,none,
sqlite:cbg,SQL database,database-records,3,(auto-generated asset to home an uncovered tool; description not persisted),insert_row,4,Insert one row into a table.,,none,
sqlite:cbg,SQL database,table-records,4,(auto-generated asset to home an uncovered tool; description not persisted),list_tables,2,Discover available tables.,,none,
sqlite:cbg,SQL database,table-records,4,(auto-generated asset to home an uncovered tool; description not persisted),describe_table,2,Column names and types for one table.,,none,
sqlite:cbg,SQL database,table-records,4,(auto-generated asset to home an uncovered tool; description not persisted),read_query,3,Run a SELECT statement (read-only enforced).,2,none,24.0
sqlite:cbg,SQL database,table-records,4,(auto-generated asset to home an uncovered tool; description not persisted),write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,80.0
sqlite:cbg,SQL database,table-records,4,(auto-generated asset to home an uncovered tool; description not persisted),insert_row,4,Insert one row into a table.,1,none,16.0
