tool,impact,confidence,evidence,capability_flags
monte_carlo_simulation,3,0.8,"tier-3 verbs: simulat(e|ion), backtest",
compare_strategies,3,0.8,tier-3 verbs: compare; bulk signal (array param or bulk wording),
list_strategies,3,0.8,tier-2 verbs: list; lists non-container items -> content read (3),
parse_strategy,3,0.35,no verb evidence -> annotation/default,
backtest_portfolio,3,0.8,tier-3 verbs: backtest; bulk signal (array param or bulk wording),
generate_backtest_charts,4,0.8,tier-4 verbs: generate,
generate_optimization_charts,4,0.8,tier-4 verbs: generate,
run_ml_strategy_backtest,3,0.8,tier-3 verbs: backtest,
train_ml_predictor,3,0.35,no verb evidence -> annotation/default,
analyze_market_regimes,3,0.35,no verb evidence -> annotation/default,
create_strategy_ensemble,4,0.8,tier-4 verbs: create; bulk signal (array param or bulk wording),
discover_capabilities,1,0.8,tier-2 verbs: discover; return-shape marker -> capped at 1,
list_all_strategies,3,0.8,"tier-2 verbs: list, names?; lists non-container items -> content read (3)",
get_strategy_help,3,0.8,tier-3 verbs: get,
get_decision_log,3,0.8,"tier-3 verbs: get, query",unbounded: `limit` caller controls result volume
get_tool_registry_status,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
create_signal,4,0.8,tier-4 verbs: create,
update_signal,4,0.8,tier-4 verbs: update,
list_signals,3,0.8,tier-2 verbs: list; lists non-container items -> content read (3),
delete_signal,5,0.8,tier-5 verbs: delete,
check_signals_now,3,0.8,tier-2 verbs: list; lists non-container items -> content read (3),
get_market_regime,3,0.8,tier-3 verbs: get,
get_regime_history,3,0.8,"tier-3 verbs: get, retrieve, histor(y|ies)",
backtest_signal,3,0.8,"tier-3 verbs: summar(y|ise|ize), backtest",
get_screening_changes,3,0.8,"tier-3 verbs: get, screen(er|ing)?",unbounded: `limit` caller controls result volume
get_screening_history,3,0.8,"tier-3 verbs: get, histor(y|ies), screen(er|ing)?",
schedule_screening,4,0.8,tier-4 verbs: schedule,
get_screening_pipeline_status,2,0.8,"tier-3 verbs: get, screen(er|ing)?; return-shape marker -> capped at 2",
journal_add_trade,5,0.8,tier-5 verbs: trade,
journal_close_trade,5,0.8,tier-5 verbs: trade,
journal_list_trades,3,0.8,tier-2 verbs: list; lists non-container items -> content read (3),unbounded: `limit` caller controls result volume
get_strategy_performance,3,0.8,tier-3 verbs: get,
get_strategy_comparison,3,0.8,tier-3 verbs: get,
journal_trade_review,5,0.8,tier-5 verbs: trade,
watchlist_create,4,0.8,tier-4 verbs: create,
watchlist_add,4,0.8,tier-4 verbs: add,
watchlist_remove,5,0.8,tier-5 verbs: remove,
watchlist_brief,2,0.8,tier-2 verbs: counts?,
get_upcoming_catalysts,3,0.8,tier-3 verbs: get,
get_portfolio_risk_dashboard,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
get_position_risk_check,3,0.8,tier-3 verbs: get,
get_regime_adjusted_sizing,3,0.8,"tier-3 verbs: get, calculate",
get_risk_alerts,3,0.8,tier-3 verbs: get,
get_user_portfolio_summary,3,0.8,"tier-3 verbs: get, summar(y|ise|ize)",
get_watchlist,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
get_market_overview,3,0.8,tier-3 verbs: get,
get_economic_calendar,3,0.8,tier-3 verbs: get,
get_mcp_connection_status,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
get_rsi_analysis,3,0.8,tier-3 verbs: get,
get_macd_analysis,3,0.8,tier-3 verbs: get,
get_support_resistance,3,0.8,tier-3 verbs: get,
get_maverick_stocks,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
get_my_portfolio,3,0.8,tier-3 verbs: get,
get_full_technical_analysis,3,0.8,tier-3 verbs: get,
get_maverick_bear_stocks,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
get_supply_demand_breakouts,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
get_all_screening_recommendations,3,0.8,"tier-3 verbs: get, screen(er|ing)?",
add_portfolio_position,4,0.8,tier-4 verbs: add,
remove_portfolio_position,5,0.8,tier-5 verbs: remove,
portfolio_correlation_analysis,3,0.35,no verb evidence -> annotation/default,
compare_tickers,3,0.8,tier-3 verbs: compare,
risk_adjusted_analysis,3,0.35,no verb evidence -> annotation/default,
fetch_stock_data,3,0.8,tier-3 verbs: fetch,
get_stock_info,3,0.8,tier-3 verbs: get,
get_news_sentiment,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
get_adanos_market_sentiment,3,0.8,tier-3 verbs: get,
