server,mcp_kind,asset,asset_sensitivity,asset_description,tool,tool_impact,tool_description,blast_radius,blast_escape,cell_score
fs:corp,filesystem,README.md,1,file at README.md,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,2.0
fs:corp,filesystem,README.md,1,file at README.md,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,2.0
fs:corp,filesystem,README.md,1,file at README.md,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,1,none,6.0
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,1,none,10.0
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,create_directory,4,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories.",,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,list_directory,2,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.,,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,list_directory_with_sizes,2,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories.",,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,directory_tree,2,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories.",,none,
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,move_file,4,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories.",1,none,8.0
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,4.0
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,4.0
fs:corp,filesystem,onboarding/org_chart.png,2,file at onboarding/org_chart.png,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,4,none,36.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",1,none,9.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,,none,
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,1,none,9.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,1,none,15.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,1,none,12.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,create_directory,4,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories.",,none,
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,list_directory,2,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.,,none,
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,list_directory_with_sizes,2,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories.",,none,
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,directory_tree,2,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories.",,none,
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,move_file,4,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories.",1,none,12.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,6.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,6.0
fs:corp,filesystem,projects/db_schema.sql,3,file at projects/db_schema.sql,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,1,none,12.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",1,none,12.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,,none,
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,1,none,12.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,1,none,20.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,4,none,64.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,create_directory,4,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories.",,none,
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,list_directory,2,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.,,none,
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,list_directory_with_sizes,2,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories.",,none,
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,directory_tree,2,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories.",,none,
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,move_file,4,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories.",1,none,16.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,8.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,8.0
fs:corp,filesystem,projects/known_defects.csv,4,file at projects/known_defects.csv,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,5,c,60.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",5,c,60.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,,none,
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,5,c,60.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,3,none,60.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,5,c,80.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,create_directory,4,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,list_directory,2,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.,,none,
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,list_directory_with_sizes,2,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,directory_tree,2,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,move_file,4,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories.",1,none,16.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,8.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,8.0
fs:corp,filesystem,sensitive/financials/payslips_q1.csv,4,file at sensitive/financials/payslips_q1.csv,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,1,none,12.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",1,none,12.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,,none,
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,1,none,12.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,1,none,20.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,1,none,16.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,create_directory,4,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,list_directory,2,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.,,none,
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,list_directory_with_sizes,2,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,directory_tree,2,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,move_file,4,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories.",1,none,16.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,8.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,8.0
fs:corp,filesystem,sensitive/security/audit_log.txt,4,file at sensitive/security/audit_log.txt,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,5,b,75.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",5,b,75.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,,none,
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,5,b,75.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,5,a,125.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,5,b,100.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,create_directory,4,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,list_directory,2,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.,1,none,10.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,list_directory_with_sizes,2,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories.",1,none,10.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,directory_tree,2,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories.",,none,
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,move_file,4,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories.",1,none,20.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,search_files,2,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories.",1,none,10.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,get_file_info,2,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories.",1,none,10.0
fs:corp,filesystem,sensitive/security/private_key.pem,5,file at sensitive/security/private_key.pem,list_allowed_directories,2,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.,,none,
fs:corp,filesystem,source_code/core.c,4,file at source_code/core.c,read_file,3,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.,1,none,12.0
fs:corp,filesystem,source_code/core.c,4,file at source_code/core.c,read_text_file,3,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories.",4,none,48.0
fs:corp,filesystem,source_code/core.c,4,file at source_code/core.c,read_media_file,3,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.,,none,
fs:corp,filesystem,source_code/core.c,4,file at source_code/core.c,read_multiple_files,3,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.,1,none,12.0
fs:corp,filesystem,source_code/core.c,4,file at source_code/core.c,write_file,5,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.,1,none,20.0
fs:corp,filesystem,source_code/core.c,4,file at source_code/core.c,edit_file,4,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.,1,none,16.0
